name,party,option_code,color
"Vojtech Filip (KSCM, Jihocesky)",KSCM,-1,red
"Pavel Kovacik (KSCM, Vysocina)",KSCM,-1,red
"Lukas Pleticha (CSSD, Liberecky)",CSSD,-1,orange
"Jeronym Tejc (CSSD, Jihomoravsky)",CSSD,-1,orange
"Jiri Zemanek (CSSD, Olomoucky)",CSSD,-1,orange
"Tomio Okamura (Usvit, Stredocesky)",Usvit,-1,yellowgreen
"Marketa Adamova (TOP 09, Praha)",TOP 09,-1,darkviolet
"Zdenek Bezecny (TOP 09, Jihocesky)",TOP 09,-1,darkviolet
"Jan Farsky (TOP 09, Liberecky)",TOP 09,-1,darkviolet
"Petr Gazdik (TOP 09, Zlinsky)",TOP 09,-1,darkviolet
"Leos Heger (TOP 09, Kralovehradecky)",TOP 09,-1,darkviolet
"Vaclav Horacek (TOP 09, Liberecky)",TOP 09,-1,darkviolet
"Jitka Chalankova (TOP 09, Olomoucky)",TOP 09,-1,darkviolet
"Daniel Korte (TOP 09, Praha)",TOP 09,-1,darkviolet
"Rom Kostrica (TOP 09, Jihomoravsky)",TOP 09,-1,darkviolet
"Jiri Koubek (TOP 09, Praha)",TOP 09,-1,darkviolet
"Vera Kovarova (TOP 09, Stredocesky)",TOP 09,-1,darkviolet
"Michal Kucera (TOP 09, Ustecky)",TOP 09,-1,darkviolet
"Frantisek Laudat (TOP 09, Praha)",TOP 09,-1,darkviolet
"Anna Putnova (TOP 09, Jihomoravsky)",TOP 09,-1,darkviolet
"Jiri Skalicky (TOP 09, Pardubicky)",TOP 09,-1,darkviolet
"Karel Turecek (TOP 09, Vysocina)",TOP 09,-1,darkviolet
"Frantisek Vacha (TOP 09, Jihocesky)",TOP 09,-1,darkviolet
"Marek Zenisek (TOP 09, Plzensky)",TOP 09,-1,darkviolet
"Vojtech Adam (KSCM, Jihomoravsky)",KSCM,0,red
"Zuzka Bebarova Rujbrova (KSCM, Jihomoravsky)",KSCM,0,red
"Gabriela Hubackova (KSCM, Ustecky)",KSCM,0,red
"Josef Nekl (KSCM, Olomoucky)",KSCM,0,red
"Karel Sidlo (KSCM, Plzensky)",KSCM,0,red
"Frantisek Adamek (CSSD, Praha)",CSSD,0,orange
"Pavel Antonin (CSSD, Vysocina)",CSSD,0,orange
"Pavel Holik (CSSD, Olomoucky)",CSSD,0,orange
"Stanislav Huml (CSSD, Stredocesky)",CSSD,0,orange
"Milan Chovanec (CSSD, Plzensky)",CSSD,0,orange
"Vaclav Klucka (CSSD, Moravskoslezsky)",CSSD,0,orange
"Jiri Koskuba (CSSD, Praha)",CSSD,0,orange
"Jaroslav Krakora (CSSD, Ustecky)",CSSD,0,orange
"Jan Mladek (CSSD, Jihocesky)",CSSD,0,orange
"Pavlina Nytrova (CSSD, Moravskoslezsky)",CSSD,0,orange
"Pavel Ploc (CSSD, Liberecky)",CSSD,0,orange
"Bohuslav Sobotka (CSSD, Jihomoravsky)",CSSD,0,orange
"Ladislav Sincl (CSSD, Moravskoslezsky)",CSSD,0,orange
"Roman Vana (CSSD, Olomoucky)",CSSD,0,orange
"Vaclav Votava (CSSD, Plzensky)",CSSD,0,orange
"Marketa Wernerova (CSSD, Karlovarsky)",CSSD,0,orange
"Augustin Karel Andrle Sylor (Usvit, Pardubicky)",Usvit,0,yellowgreen
"Radim Fiala (Usvit, Olomoucky)",Usvit,0,yellowgreen
"Karel Fiedler (Usvit, Moravskoslezsky)",Usvit,0,yellowgreen
"Olga Havlova (Usvit, Moravskoslezsky)",Usvit,0,yellowgreen
"Jaroslav Holik (Usvit, Zlinsky)",Usvit,0,yellowgreen
"David Kadner (Usvit, Ustecky)",Usvit,0,yellowgreen
"Martin Lank (Usvit, Vysocina)",Usvit,0,yellowgreen
"Karel Prazak (Usvit, Jihocesky)",Usvit,0,yellowgreen
"Milan Sarapatka (Usvit, Praha)",Usvit,0,yellowgreen
"Stanislav Berkovec (ANO, Stredocesky)",ANO,0,cyan
"Pavel Cihak (ANO, Stredocesky)",ANO,0,cyan
"Jaroslava Jermanova (ANO, Stredocesky)",ANO,0,cyan
"Jana Lorencova (ANO, Moravskoslezsky)",ANO,0,cyan
"Pavel Plzak (ANO, Kralovehradecky)",ANO,0,cyan
"Martin Stropnicky (ANO, Jihomoravsky)",ANO,0,cyan
"Pavel Sramek (ANO, Plzensky)",ANO,0,cyan
"Helena Valkova (ANO, Praha)",ANO,0,cyan
"Kristyna Zelienkova (ANO, Stredocesky)",ANO,0,cyan
"Jiri Zlatuska (ANO, Praha)",ANO,0,cyan
"Jan Bartosek (KDU-CSL, Jihocesky)",KDU-CSL,0,yellow
"Pavel Belobradek (KDU-CSL, Kralovehradecky)",KDU-CSL,0,yellow
"Daniel Herman (KDU-CSL, Praha)",KDU-CSL,0,yellow
"Marian Jurecka (KDU-CSL, Olomoucky)",KDU-CSL,0,yellow
"Petr Kudela (KDU-CSL, Moravskoslezsky)",KDU-CSL,0,yellow
"Josef Uhlik (KDU-CSL, Jihomoravsky)",KDU-CSL,0,yellow
"Miroslav Kalousek (TOP 09, Stredocesky)",TOP 09,0,darkviolet
"Helena Langsadlova (TOP 09, Stredocesky)",TOP 09,0,darkviolet
"Jaroslav Lobkowicz (TOP 09, Plzensky)",TOP 09,0,darkviolet
"Nina Novakova (TOP 09, Stredocesky)",TOP 09,0,darkviolet
"Herbert Pavera (TOP 09, Moravskoslezsky)",TOP 09,0,darkviolet
"Gabriela Peckova (TOP 09, Praha)",TOP 09,0,darkviolet
"Stanislav Polcak (TOP 09, Praha)",TOP 09,0,darkviolet
"Karel Schwarzenberg (TOP 09, Praha)",TOP 09,0,darkviolet
"Petr Fiala (ODS, Jihomoravsky)",ODS,0,blue
"Radim Holecek (ODS, Ustecky)",ODS,0,blue
"Simeon Karamazov (ODS, Pardubicky)",ODS,0,blue
"Martin Novotny (ODS, Olomoucky)",ODS,0,blue
"Jiri Pospisil (ODS, Plzensky)",ODS,0,blue
"Bohuslav Svoboda (ODS, Praha)",ODS,0,blue
"Hana Aulicka Jirovcova (KSCM, Ustecky)",KSCM,1,red
"Jaroslav Borka (KSCM, Karlovarsky)",KSCM,1,red
"Alexander Cerny (KSCM, Olomoucky)",KSCM,1,red
"Rene Cip (KSCM, Moravskoslezsky)",KSCM,1,red
"Jiri Dolejs (KSCM, Praha)",KSCM,1,red
"Miroslav Grebenicek (KSCM, Jihomoravsky)",KSCM,1,red
"Stanislav Grospic (KSCM, Stredocesky)",KSCM,1,red
"Milada Halikova (KSCM, Moravskoslezsky)",KSCM,1,red
"Jan Klan (KSCM, Stredocesky)",KSCM,1,red
"Katerina Konecna (KSCM, Moravskoslezsky)",KSCM,1,red
"Vladimir Konicek (KSCM, Zlinsky)",KSCM,1,red
"Stanislav Mackovik (KSCM, Liberecky)",KSCM,1,red
"Sona Markova (KSCM, Kralovehradecky)",KSCM,1,red
"Kveta Matusovska (KSCM, Pardubicky)",KSCM,1,red
"Alena Nohavova (KSCM, Jihocesky)",KSCM,1,red
"Zdenek Ondracek (KSCM, Kralovehradecky)",KSCM,1,red
"Miroslav Opalka (KSCM, Moravskoslezsky)",KSCM,1,red
"Marie Pencikova (KSCM, Zlinsky)",KSCM,1,red
"Ivo Pojezny (KSCM, Jihomoravsky)",KSCM,1,red
"Marta Semelova (KSCM, Praha)",KSCM,1,red
"Vaclav Snopek (KSCM, Pardubicky)",KSCM,1,red
"Josef Senfeld (KSCM, Ustecky)",KSCM,1,red
"Jiri Valenta (KSCM, Plzensky)",KSCM,1,red
