name,party,option_code,color,
"Frantisek Adamek (CSSD, Praha)",CSSD,-1,orange,2
"Jaroslav Foldyna (CSSD, Ustecky)",CSSD,-1,orange,2
"Pavel Holik (CSSD, Olomoucky)",CSSD,-1,orange,2
"Stanislav Huml (CSSD, Stredocesky)",CSSD,-1,orange,2
"Jaroslav Zavadil (CSSD, Praha)",CSSD,-1,orange,2
"Pavlina Nytrova (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Lukas Pleticha (CSSD, Liberecky)",CSSD,-1,orange,2
"Pavel Ploc (CSSD, Liberecky)",CSSD,-1,orange,2
"Bohuslav Sobotka (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Miroslava Strnadlova (CSSD, Zlinsky)",CSSD,-1,orange,2
"Ladislav Sincl (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Lubomir Zaoralek (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Pavel Antonin (CSSD, Vysocina)",CSSD,-1,orange,2
"Jiri Behounek (CSSD, Vysocina)",CSSD,-1,orange,2
"Marie Benesova (CSSD, Ustecky)",CSSD,-1,orange,2
"Jan Birke (CSSD, Kralovehradecky)",CSSD,-1,orange,2
"Robin Bohnisch (CSSD, Kralovehradecky)",CSSD,-1,orange,2
"Karel Cerny (CSSD, Vysocina)",CSSD,-1,orange,2
"Richard Dolejs (CSSD, Stredocesky)",CSSD,-1,orange,2
"Michal Hasek (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Pavel Havir (CSSD, Pardubicky)",CSSD,-1,orange,2
"Jan Chvojka (CSSD, Pardubicky)",CSSD,-1,orange,2
"Igor Jakubcik (CSSD, Plzensky)",CSSD,-1,orange,2
"Vitezslav Jandak (CSSD, Jihocesky)",CSSD,-1,orange,2
"Zuzana Kailova (CSSD, Ustecky)",CSSD,-1,orange,2
"Vaclav Klucka (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Petr Korenek (CSSD, Zlinsky)",CSSD,-1,orange,2
"Jiri Koskuba (CSSD, Praha)",CSSD,-1,orange,2
"Jaroslav Krakora (CSSD, Ustecky)",CSSD,-1,orange,2
"Milos Petera (CSSD, Stredocesky)",CSSD,-1,orange,2
"Jiri Petru (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Adam Rykala (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Antonin Seda (CSSD, Zlinsky)",CSSD,-1,orange,2
"Roman Sklenak (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Stepan Stupcuk (CSSD, Praha)",CSSD,-1,orange,2
"Jeronym Tejc (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Lubomir Toufar (CSSD, Jihomoravsky)",CSSD,-1,orange,2
"Milan Urban (CSSD, Stredocesky)",CSSD,-1,orange,2
"Dana Vahalova (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Roman Vana (CSSD, Olomoucky)",CSSD,-1,orange,2
"Ladislav Velebny (CSSD, Moravskoslezsky)",CSSD,-1,orange,2
"Vaclav Votava (CSSD, Plzensky)",CSSD,-1,orange,2
"Marketa Wernerova (CSSD, Karlovarsky)",CSSD,-1,orange,2
"Vaclav Zemek (CSSD, Stredocesky)",CSSD,-1,orange,2
"Jiri Zimola (CSSD, Jihocesky)",CSSD,-1,orange,2
"Petr Adam (Usvit, Jihomoravsky)",Usvit,-1,yellowgreen,3
